# Reference: (J,JPJ,15,2167,1960)
E,sigma,d_sigma
4.72,116.0,5.75
5.08,149.0,
5.41,199.0,
5.73,243.0,10.0
6.04,253.0,
6.33,286.0,
6.65,281.0,
6.89,254.0,
7.2,222.0,
7.42,301.0,
7.52,253.0,
7.76,287.0,7.25
7.85,219.0,
8.01,227.0,
8.11,234.0,
8.23,220.0,
8.35,303.0,
8.5,332.0,
8.62,292.0,
8.9,265.0,
9.08,299.0,15.0
9.31,219.0,
9.54,219.0,10.8
9.78,194.0,
9.8,270.0,
9.96,338.0,
10.0,274.0,
10.2,220.0,
10.3,252.0,
10.5,219.0,
10.7,236.0,
10.9,243.0,11.8
11.1,216.0,
11.2,198.0,
11.4,232.0,
11.5,266.0,
11.7,214.0,
11.9,241.0,
12.1,228.0,12.0
12.3,203.0,
12.4,204.0,
12.5,236.0,19.0
12.6,200.0,
12.7,194.0,
12.8,203.0,
12.9,188.0,
12.9,161.0,
13.0,157.0,
13.2,153.0,
13.3,147.0,
13.5,157.0,
13.5,180.0,15.3
13.7,143.0,
13.8,105.0,
13.9,173.0,
14.0,166.0,
14.0,161.0,
14.2,175.0,11.0
14.3,174.0,
14.5,173.0,
14.6,193.0,
14.8,130.0,
15.0,160.0,
