# Reference: (J,PR,129,1723,1963)
E,sigma
11.294,0.497
11.558,1.368
11.819,3.161
12.062,4.723
12.267,6.112
12.532,6.58
12.782,6.011
13.043,7.919
13.305,9.194
13.512,10.236
13.741,10.012
14.049,8.811
14.274,10.085
14.42,12.335
14.505,15.679
14.716,21.33
14.782,24.672
15.027,19.265
15.231,8.671
15.481,7.756
15.781,9.551
15.784,8.571
15.999,6.561
16.226,7.316
16.447,9.569
16.751,9.808
16.902,10.388
17.092,10.624
17.244,10.571
17.455,10.116
17.689,8.279
17.972,9.208
18.184,8.581
18.257,9.389
18.423,11.295
18.724,12.686
18.919,11.136
18.997,10.331
19.217,13.333
