# Reference: (J,NIM/B,50,19,1990)
E,sigma
5.2295,57.959
5.2806,48.479
5.3303,50.686
5.3797,54.268
5.4307,45.475
5.4876,62.146
5.5329,62.965
5.5788,58.971
5.6344,49.504
5.6806,42.761
5.7307,41.53
5.7838,52.0
5.8323,63.144
5.8856,72.239
5.9354,73.071
5.9856,106.92
6.0373,129.07
6.0898,180.12
6.1341,116.97
6.1904,66.245
6.2369,57.439
6.285,71.333
6.3387,77.678
6.3826,88.809
6.4405,97.917
6.4893,106.31
6.5386,111.27
6.5859,132.04
6.6385,182.39
6.6917,192.86
6.7441,244.6
6.7925,220.67
6.8436,247.63
6.8969,256.04
6.9469,291.26
6.9941,241.19
