# Reference: (J,NP/A,120,342,1968)
E,sigma
3.746,3.064
3.798,7.207
3.819,14.49
3.867,40.51
3.904,36.33
3.941,43.6
3.973,49.84
4.02,49.82
4.057,56.05
4.104,57.07
4.136,58.1
4.183,57.04
4.22,60.15
4.267,63.25
4.294,68.45
4.325,74.68
4.346,83.01
4.352,95.5
4.368,133.0
4.374,166.3
4.389,129.9
4.41,91.31
4.41,99.65
4.446,97.55
4.467,93.37
4.504,87.1
4.551,87.08
4.572,73.53
4.62,56.84
4.661,46.41
4.709,43.26
4.751,42.2
4.782,38.02
4.83,39.04
4.877,40.06
4.909,45.26
4.94,50.45
4.988,58.76
5.025,70.21
5.046,60.82
5.088,79.55
5.141,83.7
5.162,103.5
5.173,113.9
5.22,118.0
5.246,128.4
5.267,121.1
5.289,138.8
5.299,151.3
5.315,129.4
5.32,159.7
5.326,212.8
5.358,258.6
5.363,215.9
5.368,185.7
5.368,199.2
5.378,175.3
5.394,165.9
5.399,157.5
5.436,159.6
5.447,171.1
5.452,163.8
5.457,179.4
5.473,190.8
5.479,213.8
5.484,229.4
5.49,237.7
5.558,229.4
5.573,209.6
5.584,199.1
5.61,180.4
5.631,164.7
5.673,146.0
5.72,149.1
5.767,140.7
5.794,151.1
5.826,169.9
5.847,174.0
5.847,203.2
5.857,195.9
5.858,223.0
5.879,228.2
5.884,239.6
5.91,218.8
5.915,207.3
5.92,195.9
5.931,183.4
5.946,174.0
5.973,170.8
5.983,178.1
5.994,184.4
5.999,189.6
6.02,192.7
6.031,206.2
6.042,219.8
6.052,211.4
6.073,230.2
6.074,238.5
6.084,251.0
6.1,246.8
6.1,260.4
6.121,269.7
6.153,244.7
6.157,189.5
6.158,231.2
6.158,258.2
6.167,170.7
6.199,170.7
6.199,186.4
6.2,213.4
6.21,218.6
6.21,257.2
6.226,264.5
6.232,255.1
6.242,249.9
6.258,258.2
6.263,266.5
6.29,279.0
6.306,284.2
6.306,296.7
6.321,301.9
6.322,310.3
6.328,387.3
6.333,374.8
6.349,392.5
6.359,385.2
6.364,346.7
6.37,376.9
6.374,329.0
6.374,338.4
6.379,313.4
6.4,304.0
6.411,307.1
6.427,316.5
6.432,302.9
6.437,306.0
6.49,299.8
6.521,289.3
6.547,273.7
6.574,267.4
6.595,278.9
6.6,231.0
6.626,236.2
6.647,242.4
6.673,250.7
6.689,246.6
6.7,253.8
6.721,260.1
6.742,279.9
6.768,286.1
6.789,255.9
6.789,271.5
6.805,228.8
6.805,250.7
6.82,186.1
6.846,185.0
6.873,211.1
6.889,217.3
6.894,227.7
6.905,234.0
6.915,241.2
6.926,248.5
6.952,256.9
6.973,262.0
7.0,267.2
7.005,273.5
7.042,274.5
7.068,275.5
7.094,264.1
7.11,259.9
7.131,247.4
7.152,232.8
7.209,198.4
7.209,204.7
7.256,182.8
7.288,166.1
7.319,170.2
7.362,179.6
7.404,201.4
7.42,196.2
7.451,213.9
7.462,219.1
7.509,223.3
7.552,238.9
7.573,252.4
7.584,272.2
7.595,309.7
7.605,320.1
7.647,317.0
7.66,281.2
7.665,260.5
7.673,257.6
7.675,267.7
7.678,280.5
7.689,262.8
7.691,252.2
7.699,251.3
7.702,240.8
7.728,237.6
7.731,234.6
7.749,242.8
7.752,238.8
7.765,232.5
7.773,232.5
7.804,238.8
7.812,231.4
7.825,231.5
7.833,238.7
7.838,242.8
7.841,237.7
7.859,236.6
7.878,233.5
7.885,226.2
7.888,225.2
7.901,217.9
7.914,217.9
7.92,224.1
7.943,205.5
7.946,204.3
7.969,166.1
7.987,162.6
7.995,138.1
8.037,117.3
8.084,108.0
8.131,110.0
8.179,112.1
8.231,116.3
8.268,121.4
8.325,120.4
8.357,109.0
8.43,103.8
8.488,105.9
8.53,101.7
8.572,99.65
8.608,102.8
8.635,98.61
8.661,106.9
8.677,113.1
8.713,128.7
8.729,143.2
8.729,149.4
8.755,151.5
8.766,164.0
8.776,173.3
8.787,182.6
8.808,186.8
8.834,182.6
8.855,171.2
8.876,158.8
8.892,149.4
8.907,144.2
8.923,137.0
8.949,137.0
8.975,138.0
8.986,129.7
9.007,129.7
9.012,122.5
9.043,111.1
9.049,104.8
9.075,103.8
9.112,90.3
9.117,83.04
9.18,78.89
9.227,97.56
9.279,115.2
9.327,126.6
9.384,124.5
9.432,121.4
9.489,118.3
9.536,115.2
9.583,105.8
9.631,101.7
9.688,98.58
9.736,98.57
9.783,100.7
9.84,92.35
9.888,94.42
9.935,94.42
9.987,94.42
10.03,98.56
10.1,100.6
10.14,102.7
10.18,107.9
10.23,105.8
10.29,103.7
10.34,116.2
10.39,131.8
10.43,129.7
10.49,132.8
10.49,142.1
10.53,139.0
10.58,140.0
10.62,141.1
10.65,141.1
10.69,140.0
10.69,146.3
10.73,139.0
10.78,150.4
10.83,147.3
10.88,141.1
10.93,155.6
10.94,142.1
10.94,136.9
10.98,145.2
10.99,137.9
11.02,134.8
11.07,127.6
11.14,123.4
11.19,121.3
11.24,126.5
11.3,130.7
11.35,130.7
11.39,129.6
11.46,135.9
11.49,142.1
11.54,141.0
11.61,151.4
11.66,153.5
11.69,152.4
11.75,151.4
11.79,159.7
11.84,154.5
11.9,161.8
11.94,154.5
