# Reference: (J,NP/A,186,257,1972)
E,sigma
1.93,25.0
1.99,42.0
2.05,92.0
2.15,174.0
2.25,249.0
2.31,274.0
2.38,324.0
2.41,274.0
2.47,281.0
2.5,224.0
2.56,299.0
2.63,349.0
2.68,399.0
2.76,484.0
2.79,523.0
2.82,598.0
2.87,623.0
2.94,623.0
2.98,548.0
3.04,498.0
3.1,548.0
3.16,473.0
3.2,538.0
3.26,572.0
3.3,597.0
3.38,602.0
3.42,697.0
3.48,597.0
3.5,572.0
3.58,547.0
3.67,609.0
3.73,597.0
3.77,522.0
3.79,497.0
3.8,522.0
3.85,521.0
3.89,571.0
3.94,521.0
4.0,546.0
4.05,546.0
4.15,536.0
4.16,546.0
4.21,546.0
4.25,536.0
4.29,521.0
4.37,471.0
4.43,488.0
4.46,495.0
4.53,520.0
4.57,510.0
4.64,495.0
4.68,470.0
4.78,495.0
4.79,510.0
4.84,520.0
5.0,527.0
5.04,494.0
5.09,519.0
5.13,494.0
5.24,494.0
5.32,469.0
5.43,444.0
5.47,444.0
5.55,418.0
5.63,443.0
5.71,458.0
5.79,443.0
5.81,458.0
5.84,486.0
5.9,480.0
5.95,468.0
6.04,468.0
6.11,442.0
6.17,467.0
6.23,457.0
6.27,485.0
6.31,460.0
6.38,467.0
6.42,442.0
6.58,417.0
6.68,466.0
6.74,456.0
6.84,466.0
6.9,441.0
7.06,441.0
7.13,466.0
7.22,441.0
7.37,440.0
7.37,415.0
7.53,390.0
7.69,397.0
7.85,414.0
8.01,389.0
8.1,389.0
8.16,364.0
8.26,359.0
8.42,363.0
8.48,338.0
8.64,313.0
8.75,338.0
8.84,313.0
8.96,312.0
9.07,302.0
9.11,287.0
9.21,312.0
9.27,312.0
9.43,289.0
9.53,311.0
9.75,301.0
10.06,286.0
10.17,285.0
10.22,275.0
10.32,285.0
10.38,260.0
10.54,237.0
10.63,234.0
11.17,249.0
11.22,233.0
11.33,233.0
11.49,208.0
11.8,207.0
11.91,210.0
12.07,224.0
12.12,207.0
12.18,197.0
12.28,202.0
12.39,189.0
12.44,196.0
12.59,181.0
12.75,191.0
12.86,181.0
12.91,180.0
12.99,193.0
13.07,180.0
13.18,180.0
13.23,180.0
13.39,195.0
13.48,204.0
13.54,179.0
13.8,179.0
13.86,179.0
13.96,179.0
14.02,179.0
14.07,178.0
14.18,178.0
14.27,178.0
14.34,170.0
14.49,153.0
14.57,178.0
14.65,177.0
14.81,162.0
14.9,152.0
14.97,162.0
15.06,152.0
15.13,159.0
15.28,151.0
15.43,159.0
15.44,151.0
15.54,128.0
15.6,151.0
15.68,143.0
