# Reference: (J,PR,85,434,1952)
E,sigma
0.3566,2.5
0.3971,2.0
0.4364,5.0
0.4644,7.4
0.5079,15.0
0.5381,27.599999999999998
0.5999,48.9
0.6233,81.4
0.6666,139.6
0.6856,168.1
0.7032,200.6
0.7271,215.0
0.7418,222.39999999999998
0.7686,228.2
0.7918,227.70000000000002
0.8186,217.0
0.8368,197.7
0.866,196.70000000000002
0.8856,189.9
0.8989,184.9
0.9386,186.70000000000002
0.965,193.6
0.9828,209.1
1.015,232.5
1.039,212.10000000000002
1.057,193.39999999999998
1.077,186.1
1.112,183.9
1.141,185.79999999999998
1.167,192.70000000000002
1.195,196.20000000000002
1.221,203.1
1.26,208.4
1.28,215.9
1.306,224.5
1.339,228.6
1.359,237.8
1.391,246.4
1.422,256.2
1.478,261.0
1.533,266.90000000000003
1.587,280.2
1.66,283.9
1.706,302.8
1.772,309.90000000000003
