# Reference: (J,PR/C,83,045801,2011)
E_cm,sigma,d_sigma
0.103,0.493,0.56171
0.309,1.63667,1.02346
0.515,3.3614,1.46673
0.721,4.11137,1.62212
0.927,5.52681,1.88073
1.133,8.32726,2.30856
1.339,8.10849,2.27803
1.545,15.89007,3.18899
1.751,19.67664,3.54867
1.957,29.47824,4.34351
2.163,32.46835,4.55848
2.369,48.77916,5.58737
2.575,61.78709,6.28838
2.781,56.93451,6.0364
2.987,51.39214,5.73506
3.193,30.38817,4.41004
3.399,20.132,3.5895
3.605,12.54437,2.83344
3.811,8.56721,2.34158
4.017,13.59479,2.94969
4.223,9.02638,2.40352
4.429,6.6933,2.35875
4.635,17.05743,3.30405
4.841,28.82627,4.29521
5.047,31.75503,4.50813
5.253,26.81677,4.14279
5.459,28.02741,4.23527
5.665,22.13662,3.76397
5.871,16.48099,3.24774
6.077,11.97394,2.76827
6.283,10.35239,2.57401
6.489,10.70574,2.61757
6.695,6.68464,2.06837
6.901,6.14074,1.98244
7.107,3.72373,1.54376
7.313,5.43847,1.86564
7.519,1.97255,1.12358
7.725,-0.56952,0.60373
7.931,-0.91393,0.7648
8.137,-2.2581,1.20216
8.343,-2.18168,1.18164
8.549,-2.10891,1.16177
8.755,-2.03957,1.14251
8.961,-1.97345,1.12384
9.167,-1.91038,1.10573
9.373,-1.85019,1.08817
9.579,-1.79269,1.07113
9.785,-1.73777,1.0546
9.991,-1.68523,1.03853
10.197,-0.68519,0.78468
