# Reference: (J,NP/A,1041,122778,2024)
E,sigma,d_sigma
3.596,0.2848,0.0123
3.996,0.306,0.0143
4.319,0.3308,0.0171
4.496,0.3389,0.0155
4.832,0.3894,0.0205
4.997,0.3973,0.0177
5.185,0.3938,0.019
5.497,0.381,0.0162
5.708,0.3106,0.0138
5.997,0.2781,0.0139
6.471,0.2142,0.0083
6.998,0.1676,0.0065
7.526,0.1273,0.0054
7.998,0.1098,0.0052
8.569,0.0888,0.0034
8.998,0.0878,0.0036
9.42,0.0791,0.0035
9.998,0.0685,0.003
10.459,0.0627,0.0029
10.998,0.0594,0.0032
11.335,0.0623,0.0025
11.998,0.0564,0.0025
12.373,0.0595,0.0031
12.999,0.0504,0.0024
