# Reference: (R,NFL-6,1979)
E,sigma
0.445,0.0088
0.455,0.013000000000000001
0.465,0.02
0.475,0.031
0.485,0.047
0.495,0.07100000000000001
0.505,0.111
0.515,0.149
0.525,0.185
0.535,0.203
0.545,0.20500000000000002
0.553,0.199
0.558,0.192
0.563,0.184
0.568,0.176
0.573,0.167
0.578,0.16
0.583,0.145
0.588,0.13
0.593,0.123
0.598,0.132
0.603,0.127
0.608,0.146
0.612,0.166
0.615,0.182
0.617,0.193
0.621,0.295
0.622,0.361
0.623,0.40900000000000003
0.624,0.442
0.625,0.461
0.626,0.46900000000000003
0.627,0.444
0.628,0.458
0.629,0.467
0.63,0.427
0.631,0.40800000000000003
0.632,0.391
0.633,0.377
0.634,0.326
0.635,0.28
0.637,0.224
0.639,0.20700000000000002
0.641,0.20700000000000002
0.643,0.199
0.645,0.191
0.646,0.184
0.648,0.19
0.653,0.176
0.658,0.164
0.663,0.16
0.668,0.163
0.673,0.154
0.678,0.146
0.683,0.14100000000000001
0.688,0.137
0.693,0.135
0.698,0.135
0.703,0.137
0.708,0.14
0.713,0.15
0.718,0.153
0.723,0.156
0.728,0.16
0.733,0.162
0.738,0.165
0.743,0.168
0.748,0.17
0.753,0.171
0.758,0.17300000000000001
0.763,0.17400000000000002
0.768,0.17500000000000002
0.773,0.176
