# Reference: (J,NP/A,210,341,1973)
E,sigma,d_sigma
0.028,5.5e-05,3e-05
0.036,0.00055,0.00015
0.045,0.0031,0.0005
0.052,0.0066,0.0007
0.058,0.022,0.002
0.072,0.1,0.01
0.082,0.32,0.03
0.094,0.7,0.05
0.105,1.4,0.1
0.118,2.6,0.2
0.13,4.6,0.3
0.144,7.5,0.5
0.16,12.4,0.8
0.175,18.9,1.0
0.192,29.5,1.5
0.21,44.0,2.0
0.227,69.0,4.0
0.244,107.0,6.0
0.262,162.0,10.0
0.281,235.0,16.0
0.3,295.0,18.0
0.32,335.0,20.0
0.341,350.0,20.0
0.372,310.0,17.0
0.405,275.0,15.0
0.442,280.0,15.0
0.468,290.0,15.0
0.496,270.0,14.0
0.522,250.0,14.0
0.561,245.0,14.0
0.603,245.0,14.0
0.642,245.0,14.0
0.697,260.0,14.0
